UserID,Age,Gender,HeightCM,WeightKG,ActivityLevel,Goal,DietPreference,BMI,BMIClass,BMR,TDEE
U0047,53,male,170.1,72.2,moderate,gain_muscle,vegetarian,25.0,overweight,1525.0,2364.0
U0048,46,male,175.3,60.6,active,lose_weight,none,19.7,normal,1477.0,2548.0
U0049,30,female,167.3,66.2,moderate,lose_weight,vegan,23.7,normal,1397.0,2165.0
U0050,60,male,171.0,103.3,active,gain_muscle,none,35.3,obese,1807.0,3117.0
U0051,37,male,172.6,68.3,active,gain_muscle,none,22.9,normal,1582.0,2729.0
U0052,23,male,166.5,47.0,light,lose_weight,high-protein,17.0,underweight,1401.0,1926.0
U0053,63,female,158.3,52.9,very_active,lose_weight,vegetarian,21.1,normal,1042.0,1980.0
U0054,60,female,159.9,71.2,very_active,lose_weight,none,27.8,overweight,1250.0,2375.0
U0055,18,female,156.0,85.0,light,lose_weight,none,34.9,obese,1574.0,2164.0
U0056,60,female,165.4,68.4,sedentary,lose_weight,vegetarian,25.0,overweight,1257.0,1508.0
U0057,62,male,174.0,64.9,light,lose_weight,none,21.4,normal,1432.0,1969.0
U0058,56,female,168.9,48.3,active,maintain,none,16.9,underweight,1098.0,1894.0
U0059,28,male,176.9,112.8,very_active,gain_muscle,vegetarian,36.0,obese,2099.0,3988.0
U0060,46,male,178.5,67.4,active,gain_muscle,vegan,21.2,normal,1565.0,2700.0
U0061,42,female,164.6,40.3,light,gain_muscle,none,14.9,underweight,1061.0,1459.0
U0062,46,male,171.3,101.1,sedentary,lose_weight,vegetarian,34.5,obese,1857.0,2228.0
U0063,46,female,158.2,66.6,moderate,lose_weight,vegetarian,26.6,overweight,1264.0,1959.0
U0064,47,female,159.8,75.1,light,maintain,none,29.4,overweight,1354.0,1862.0
U0065,41,female,165.4,55.3,sedentary,lose_weight,none,20.2,normal,1221.0,1465.0
U0066,49,female,156.0,62.8,sedentary,lose_weight,none,25.8,overweight,1197.0,1436.0
U0067,41,female,159.2,40.0,sedentary,gain_muscle,none,15.8,underweight,1029.0,1235.0
U0068,16,male,166.8,63.4,sedentary,lose_weight,high-protein,22.8,normal,1602.0,1922.0
U0069,17,male,176.9,75.0,active,lose_weight,vegetarian,24.0,normal,1776.0,3064.0
U0070,62,male,191.9,68.9,light,maintain,low-carb,18.7,normal,1583.0,2177.0
U0071,60,male,169.4,62.9,light,gain_muscle,none,21.9,normal,1393.0,1915.0
U0072,44,male,172.5,63.9,moderate,maintain,vegan,21.5,normal,1502.0,2328.0
U0073,24,female,158.6,47.1,very_active,lose_weight,vegetarian,18.7,normal,1181.0,2244.0
U0074,54,male,168.6,69.3,active,maintain,high-protein,24.4,normal,1482.0,2556.0
U0075,23,male,182.8,88.1,moderate,gain_muscle,high-protein,26.4,overweight,1914.0,2967.0
U0076,34,male,167.3,41.7,moderate,lose_weight,vegetarian,14.9,underweight,1298.0,2012.0
U0077,32,male,168.7,74.0,moderate,maintain,vegetarian,26.0,overweight,1639.0,2540.0
U0078,16,female,166.8,66.5,moderate,maintain,low-carb,23.9,normal,1466.0,2272.0
U0079,55,female,159.8,45.1,light,maintain,low-carb,17.7,underweight,1014.0,1394.0
U0080,40,female,157.1,43.9,moderate,lose_weight,low-carb,17.8,underweight,1060.0,1643.0
U0081,31,female,167.4,49.5,light,gain_muscle,none,17.7,underweight,1225.0,1684.0
U0082,40,male,191.6,72.1,light,lose_weight,none,19.6,normal,1724.0,2370.0
U0083,16,female,167.5,40.0,light,lose_weight,none,14.3,underweight,1206.0,1658.0
U0084,37,male,160.3,78.9,light,lose_weight,vegan,30.7,obese,1611.0,2215.0
U0085,41,male,178.3,67.5,light,lose_weight,none,21.2,normal,1589.0,2185.0
U0086,32,male,166.9,65.6,moderate,lose_weight,none,23.6,normal,1544.0,2393.0
U0087,56,female,161.4,40.0,light,gain_muscle,vegetarian,15.4,underweight,968.0,1331.0
U0088,28,male,170.0,45.0,sedentary,gain_muscle,none,15.6,underweight,1378.0,1654.0
U0089,22,male,167.6,77.3,light,lose_weight,vegan,27.5,overweight,1716.0,2360.0
U0090,41,male,170.8,94.9,light,gain_muscle,none,32.5,obese,1816.0,2497.0
U0091,59,male,177.3,77.8,moderate,gain_muscle,high-protein,24.7,normal,1596.0,2474.0
U0092,34,female,161.3,71.4,light,lose_weight,none,27.4,overweight,1391.0,1913.0
U0093,18,male,168.5,65.7,sedentary,maintain,vegetarian,23.1,normal,1625.0,1950.0
U0094,63,male,170.6,51.3,sedentary,gain_muscle,vegetarian,17.6,underweight,1269.0,1523.0
U0095,37,male,163.1,70.1,light,gain_muscle,none,26.4,overweight,1540.0,2118.0
U0096,24,female,153.3,48.0,sedentary,maintain,none,20.4,normal,1157.0,1388.0
U0097,46,male,159.5,64.6,light,gain_muscle,high-protein,25.4,overweight,1418.0,1950.0
U0098,31,male,168.9,76.6,moderate,maintain,vegetarian,26.9,overweight,1672.0,2592.0
U0099,61,male,177.3,77.8,very_active,lose_weight,none,24.7,normal,1586.0,3013.0
U0100,30,female,158.1,69.0,moderate,lose_weight,vegan,27.6,overweight,1367.0,2119.0
U0101,42,female,156.1,61.3,sedentary,maintain,none,25.2,overweight,1218.0,1462.0
U0102,42,female,160.3,70.7,light,lose_weight,vegetarian,27.5,overweight,1338.0,1840.0
U0103,27,male,180.2,88.7,active,lose_weight,vegetarian,27.3,overweight,1883.0,3248.0
U0104,40,female,162.6,48.3,light,lose_weight,vegetarian,18.3,underweight,1138.0,1565.0
U0105,21,female,166.8,50.3,very_active,gain_muscle,none,18.1,underweight,1280.0,2432.0
U0106,47,female,159.5,40.0,moderate,maintain,none,15.7,underweight,1001.0,1552.0
U0107,53,male,177.3,82.4,sedentary,lose_weight,none,26.2,overweight,1672.0,2006.0
U0108,62,male,168.9,69.2,sedentary,lose_weight,none,24.3,normal,1443.0,1732.0
U0109,31,male,162.6,79.3,very_active,lose_weight,vegetarian,30.0,obese,1659.0,3152.0
U0110,29,female,163.2,53.2,very_active,lose_weight,vegan,20.0,normal,1246.0,2367.0
U0111,42,male,175.8,50.6,active,maintain,none,16.4,underweight,1400.0,2415.0
U0112,49,male,179.6,55.4,light,lose_weight,none,17.2,underweight,1436.0,1974.0
U0113,64,male,165.4,61.4,active,gain_muscle,vegan,22.4,normal,1333.0,2299.0
U0114,17,female,164.5,85.9,sedentary,lose_weight,vegetarian,31.7,obese,1641.0,1969.0
U0115,27,male,175.2,67.6,light,lose_weight,high-protein,22.0,normal,1641.0,2256.0
U0116,28,female,165.8,70.5,moderate,gain_muscle,none,25.6,overweight,1440.0,2232.0
U0117,28,female,147.1,61.7,very_active,lose_weight,none,28.5,overweight,1235.0,2346.0
U0118,38,female,163.4,58.9,light,lose_weight,none,22.1,normal,1259.0,1731.0
U0119,58,male,159.0,58.1,light,lose_weight,vegetarian,23.0,normal,1290.0,1774.0
U0120,17,female,163.7,62.6,sedentary,maintain,vegetarian,23.4,normal,1403.0,1684.0
U0121,55,female,153.1,40.0,light,lose_weight,none,17.1,underweight,921.0,1266.0
U0122,46,female,161.7,55.8,sedentary,gain_muscle,none,21.3,normal,1178.0,1414.0
U0123,46,male,163.5,55.0,active,maintain,vegan,20.6,normal,1347.0,2324.0
U0124,49,male,169.7,95.1,sedentary,gain_muscle,none,33.0,obese,1772.0,2126.0
U0125,21,male,172.3,93.8,moderate,maintain,vegan,31.6,obese,1915.0,2968.0
U0126,52,male,184.5,78.0,light,gain_muscle,none,22.9,normal,1678.0,2307.0
U0127,28,male,168.5,46.8,light,maintain,none,16.5,underweight,1386.0,1906.0
U0128,41,male,168.7,69.7,light,lose_weight,none,24.5,normal,1551.0,2133.0
U0129,49,male,182.8,82.7,light,maintain,low-carb,24.7,normal,1730.0,2379.0
U0130,45,female,160.6,56.8,moderate,maintain,none,22.0,normal,1186.0,1838.0
U0131,31,male,177.1,72.2,moderate,lose_weight,none,23.0,normal,1679.0,2602.0
U0132,35,female,153.1,67.2,very_active,maintain,high-protein,28.7,overweight,1293.0,2457.0
U0133,39,female,148.8,61.2,light,lose_weight,none,27.6,overweight,1186.0,1631.0
U0134,18,male,160.4,67.9,moderate,maintain,none,26.4,overweight,1596.0,2474.0
U0135,51,female,160.7,62.2,very_active,lose_weight,none,24.1,normal,1210.0,2299.0
U0136,20,male,177.9,66.7,light,lose_weight,vegan,21.1,normal,1684.0,2316.0
U0137,38,female,156.6,64.3,active,lose_weight,none,26.2,overweight,1271.0,2192.0
U0138,48,male,169.8,83.8,very_active,lose_weight,high-protein,29.1,overweight,1664.0,3162.0
U0139,19,female,155.7,75.5,active,lose_weight,vegan,31.1,obese,1472.0,2539.0
U0140,64,male,170.5,70.4,moderate,lose_weight,vegetarian,24.2,normal,1455.0,2255.0
U0141,34,male,174.1,41.4,moderate,maintain,none,13.7,underweight,1337.0,2072.0
U0142,16,male,178.9,77.0,light,lose_weight,high-protein,24.1,normal,1813.0,2493.0
U0143,48,female,172.6,93.1,moderate,gain_muscle,high-protein,31.3,obese,1609.0,2494.0
U0144,43,female,149.4,40.2,very_active,gain_muscle,high-protein,18.0,underweight,960.0,1824.0
U0145,47,male,173.1,62.3,light,lose_weight,none,20.8,normal,1475.0,2028.0
U0146,52,male,171.3,61.9,active,lose_weight,vegan,21.1,normal,1435.0,2475.0
U0147,39,male,174.8,87.3,moderate,lose_weight,vegan,28.6,overweight,1776.0,2753.0
U0148,56,male,173.9,70.3,sedentary,lose_weight,low-carb,23.2,normal,1515.0,1818.0
U0149,34,male,169.9,92.6,moderate,lose_weight,none,32.1,obese,1823.0,2826.0
U0150,42,male,168.3,64.5,active,maintain,high-protein,22.8,normal,1492.0,2574.0
U0151,23,female,163.3,68.8,moderate,maintain,vegan,25.8,overweight,1433.0,2221.0
U0152,46,female,170.6,73.7,active,lose_weight,high-protein,25.3,overweight,1412.0,2436.0
U0153,28,male,166.9,59.4,light,maintain,vegan,21.3,normal,1502.0,2065.0
U0154,50,female,159.6,40.0,very_active,lose_weight,high-protein,15.7,underweight,986.0,1873.0
U0155,55,male,173.3,41.5,moderate,gain_muscle,none,13.8,underweight,1228.0,1903.0
U0156,58,female,154.5,49.4,active,gain_muscle,none,20.7,normal,1009.0,1741.0
U0157,61,male,169.9,76.0,light,lose_weight,none,26.3,overweight,1522.0,2093.0
U0158,21,female,151.8,40.0,light,gain_muscle,high-protein,17.4,underweight,1083.0,1489.0
U0159,22,female,158.5,48.9,very_active,gain_muscle,none,19.5,normal,1209.0,2297.0
U0160,61,female,160.6,59.2,sedentary,lose_weight,vegetarian,23.0,normal,1130.0,1356.0
U0161,34,male,170.5,85.1,light,lose_weight,low-carb,29.3,overweight,1752.0,2409.0
U0162,17,female,161.7,69.6,active,gain_muscle,high-protein,26.6,overweight,1461.0,2520.0
U0163,30,male,170.2,63.2,moderate,lose_weight,vegan,21.8,normal,1551.0,2404.0
U0164,56,male,178.0,74.2,active,lose_weight,high-protein,23.4,normal,1580.0,2726.0
U0165,33,female,157.4,57.6,moderate,maintain,none,23.2,normal,1234.0,1913.0
U0166,19,male,173.6,52.4,very_active,lose_weight,vegetarian,17.4,underweight,1519.0,2886.0
U0167,51,female,161.4,60.0,light,lose_weight,vegetarian,23.0,normal,1193.0,1640.0
U0168,25,female,168.6,56.8,moderate,gain_muscle,high-protein,20.0,normal,1336.0,2071.0
U0169,33,male,187.0,65.7,active,lose_weight,none,18.8,normal,1666.0,2874.0
U0170,16,female,158.5,56.3,moderate,maintain,none,22.4,normal,1313.0,2035.0
U0171,45,male,166.6,79.6,sedentary,maintain,vegan,28.7,overweight,1617.0,1940.0
U0172,37,male,182.0,62.4,light,lose_weight,vegetarian,18.8,normal,1582.0,2175.0
U0173,58,male,174.0,40.0,moderate,maintain,high-protein,13.2,underweight,1202.0,1863.0
U0174,32,female,162.3,52.5,active,maintain,vegetarian,19.9,normal,1218.0,2101.0
U0175,26,male,171.0,76.5,moderate,lose_weight,high-protein,26.2,overweight,1709.0,2649.0
U0176,24,male,169.8,50.0,active,maintain,vegetarian,17.3,underweight,1446.0,2494.0
U0177,25,male,170.8,77.1,active,gain_muscle,high-protein,26.4,overweight,1718.0,2964.0
U0178,38,female,158.5,40.0,light,gain_muscle,vegan,15.9,underweight,1040.0,1430.0
U0179,20,female,154.9,45.6,moderate,lose_weight,none,19.0,normal,1163.0,1803.0
U0180,35,female,163.7,43.1,moderate,lose_weight,none,16.1,underweight,1118.0,1733.0
U0181,57,female,155.2,62.3,sedentary,maintain,high-protein,25.9,overweight,1147.0,1376.0
U0182,53,female,154.1,67.9,light,gain_muscle,none,28.6,overweight,1216.0,1672.0
U0183,47,male,155.7,67.5,moderate,gain_muscle,vegan,27.8,overweight,1418.0,2198.0
U0184,59,male,171.3,58.5,active,lose_weight,none,19.9,normal,1366.0,2356.0
U0185,54,female,158.6,40.0,light,gain_muscle,high-protein,15.9,underweight,960.0,1320.0
U0186,47,female,163.8,71.6,sedentary,lose_weight,none,26.7,overweight,1344.0,1613.0
U0187,58,male,166.3,77.2,light,lose_weight,vegetarian,27.9,overweight,1526.0,2098.0
U0188,22,male,176.1,84.7,active,maintain,vegetarian,27.3,overweight,1843.0,3179.0
U0189,56,female,155.1,77.4,moderate,lose_weight,none,32.2,obese,1302.0,2018.0
U0190,30,male,162.5,40.6,light,maintain,vegetarian,15.4,underweight,1277.0,1756.0
U0191,51,female,156.5,62.2,very_active,lose_weight,high-protein,25.4,overweight,1184.0,2250.0
U0192,60,male,172.6,79.9,sedentary,gain_muscle,vegan,26.8,overweight,1583.0,1900.0
U0193,40,male,158.9,52.0,light,gain_muscle,low-carb,20.6,normal,1318.0,1812.0
U0194,20,female,164.8,59.3,light,lose_weight,high-protein,21.8,normal,1362.0,1873.0
U0195,34,male,172.1,75.0,moderate,maintain,vegetarian,25.3,overweight,1661.0,2575.0
U0196,35,male,169.1,50.6,active,maintain,vegetarian,17.7,underweight,1393.0,2403.0
U0197,61,female,155.0,40.0,sedentary,lose_weight,low-carb,16.6,underweight,903.0,1084.0
U0198,62,female,166.5,73.9,active,gain_muscle,vegetarian,26.7,overweight,1309.0,2258.0
U0199,43,male,177.0,84.9,moderate,maintain,none,27.1,overweight,1745.0,2705.0
U0200,62,male,163.7,47.9,active,lose_weight,high-protein,17.9,underweight,1197.0,2065.0
U0201,37,female,160.2,49.8,very_active,gain_muscle,low-carb,19.4,normal,1153.0,2191.0
U0202,36,female,156.9,58.9,active,lose_weight,vegetarian,23.9,normal,1229.0,2120.0
U0203,56,male,164.4,60.3,sedentary,lose_weight,none,22.3,normal,1356.0,1627.0
U0204,48,male,174.9,76.7,light,lose_weight,vegetarian,25.1,overweight,1625.0,2234.0
U0205,41,male,183.6,90.7,very_active,gain_muscle,vegan,26.9,overweight,1854.0,3523.0
U0206,38,male,174.2,61.0,moderate,gain_muscle,none,20.1,normal,1514.0,2347.0
U0207,50,male,175.9,55.6,moderate,lose_weight,vegan,18.0,underweight,1410.0,2186.0
U0208,52,female,163.7,69.6,very_active,lose_weight,vegetarian,26.0,overweight,1298.0,2466.0
U0209,40,male,164.8,68.2,active,lose_weight,none,25.1,overweight,1517.0,2617.0
U0210,17,male,168.6,40.0,moderate,maintain,vegetarian,14.1,underweight,1374.0,2130.0
U0211,20,female,160.8,75.5,active,lose_weight,none,29.2,overweight,1499.0,2586.0
U0212,23,female,156.0,50.8,sedentary,lose_weight,high-protein,20.9,normal,1207.0,1448.0
U0213,38,male,174.8,40.0,active,lose_weight,none,13.1,underweight,1308.0,2256.0
U0214,46,female,149.4,45.1,very_active,lose_weight,high-protein,20.2,normal,994.0,1889.0
U0215,55,female,164.1,58.9,sedentary,maintain,none,21.9,normal,1179.0,1415.0
U0216,27,female,161.9,48.8,sedentary,maintain,low-carb,18.6,normal,1204.0,1445.0
U0217,54,male,174.1,77.8,active,lose_weight,high-protein,25.7,overweight,1601.0,2762.0
U0218,48,male,168.6,53.0,moderate,lose_weight,none,18.6,normal,1349.0,2091.0
U0219,18,female,154.6,58.6,sedentary,lose_weight,low-carb,24.5,normal,1301.0,1561.0
U0220,33,male,174.3,70.9,light,maintain,vegetarian,23.3,normal,1638.0,2252.0
U0221,30,male,180.7,101.1,light,lose_weight,vegetarian,31.0,obese,1995.0,2743.0
U0222,59,male,166.7,56.2,light,lose_weight,low-carb,20.2,normal,1314.0,1807.0
U0223,61,female,172.4,80.3,active,maintain,low-carb,27.0,overweight,1414.0,2439.0
U0224,56,female,168.9,77.1,moderate,lose_weight,vegan,27.0,overweight,1386.0,2148.0
U0225,41,male,169.1,53.5,moderate,maintain,low-carb,18.7,normal,1392.0,2158.0
U0226,40,female,156.8,80.8,sedentary,lose_weight,none,32.9,obese,1427.0,1712.0
U0227,31,male,166.9,55.1,light,lose_weight,none,19.8,normal,1444.0,1986.0
U0228,53,female,159.6,58.4,light,maintain,none,22.9,normal,1156.0,1590.0
U0229,20,female,151.6,43.2,active,lose_weight,none,18.8,normal,1118.0,1929.0
U0230,29,male,155.6,40.0,very_active,lose_weight,vegetarian,16.5,underweight,1232.0,2341.0
U0231,22,male,164.6,61.3,light,gain_muscle,none,22.6,normal,1537.0,2113.0
U0232,40,male,176.4,82.7,very_active,lose_weight,vegetarian,26.6,overweight,1734.0,3295.0
U0233,30,female,158.5,69.7,sedentary,gain_muscle,none,27.7,overweight,1377.0,1652.0
U0234,25,female,167.0,78.9,light,lose_weight,none,28.3,overweight,1547.0,2127.0
U0235,34,female,152.4,57.5,active,gain_muscle,vegan,24.8,normal,1196.0,2063.0
U0236,58,female,153.8,43.3,light,gain_muscle,none,18.3,underweight,943.0,1297.0
U0237,43,male,174.2,64.0,very_active,lose_weight,vegan,21.1,normal,1519.0,2886.0
U0238,56,female,166.5,75.6,sedentary,maintain,high-protein,27.3,overweight,1356.0,1627.0
U0239,60,male,176.6,67.2,active,maintain,vegetarian,21.5,normal,1481.0,2555.0
U0240,60,male,161.3,45.9,sedentary,lose_weight,high-protein,17.6,underweight,1172.0,1406.0
U0241,33,female,151.7,52.7,sedentary,lose_weight,low-carb,22.9,normal,1149.0,1379.0
U0242,58,female,158.9,77.0,light,gain_muscle,none,30.5,obese,1312.0,1804.0
U0243,60,male,189.1,87.0,very_active,maintain,vegan,24.3,normal,1757.0,3338.0
U0244,63,male,160.8,52.3,moderate,gain_muscle,none,20.2,normal,1218.0,1888.0
U0245,33,female,158.5,40.0,moderate,gain_muscle,none,15.9,underweight,1065.0,1651.0
U0246,27,female,153.2,59.5,sedentary,gain_muscle,vegetarian,25.4,overweight,1256.0,1507.0
U0247,44,female,156.1,40.6,sedentary,maintain,vegan,16.7,underweight,1001.0,1201.0
U0248,61,male,181.5,71.0,sedentary,maintain,high-protein,21.6,normal,1544.0,1853.0
U0249,60,male,189.0,67.9,active,gain_muscle,vegan,19.0,normal,1565.0,2700.0
U0250,43,male,168.7,48.0,sedentary,maintain,high-protein,16.9,underweight,1324.0,1589.0
U0251,23,female,158.1,53.0,light,lose_weight,vegetarian,21.2,normal,1242.0,1708.0
U0252,36,female,150.4,47.0,moderate,maintain,none,20.8,normal,1069.0,1657.0
U0253,50,male,170.3,76.6,moderate,lose_weight,none,26.4,overweight,1585.0,2457.0
U0254,43,male,169.8,54.1,light,gain_muscle,vegetarian,18.8,normal,1392.0,1914.0
U0255,32,male,167.4,62.8,sedentary,maintain,vegan,22.4,normal,1519.0,1823.0
U0256,32,female,171.3,68.1,light,maintain,none,23.2,normal,1431.0,1968.0
U0257,18,female,159.4,64.5,moderate,lose_weight,none,25.4,overweight,1390.0,2154.0
U0258,30,male,174.3,83.7,sedentary,maintain,none,27.6,overweight,1781.0,2137.0
U0259,48,male,169.8,65.8,moderate,lose_weight,vegetarian,22.8,normal,1484.0,2300.0
U0260,27,female,145.0,66.8,sedentary,maintain,none,31.8,obese,1278.0,1534.0
U0261,64,male,176.7,64.0,very_active,maintain,none,20.5,normal,1429.0,2715.0
U0262,20,female,159.7,50.9,very_active,lose_weight,none,20.0,normal,1246.0,2367.0
U0263,44,male,178.2,88.4,sedentary,lose_weight,none,27.8,overweight,1783.0,2140.0
U0264,40,male,177.5,66.0,light,maintain,vegetarian,20.9,normal,1574.0,2164.0
U0265,56,female,153.2,56.0,light,lose_weight,low-carb,23.9,normal,1076.0,1480.0
U0266,59,male,162.0,52.9,active,gain_muscle,none,20.2,normal,1252.0,2160.0
U0267,42,male,166.7,65.1,moderate,gain_muscle,vegetarian,23.4,normal,1488.0,2306.0
U0268,46,male,164.6,53.4,moderate,gain_muscle,vegetarian,19.7,normal,1338.0,2074.0
U0269,50,male,177.3,61.5,sedentary,lose_weight,vegetarian,19.6,normal,1478.0,1774.0
U0270,41,male,174.5,56.8,sedentary,lose_weight,none,18.7,normal,1459.0,1751.0
U0271,25,male,179.7,84.3,moderate,gain_muscle,none,26.1,overweight,1846.0,2861.0
U0272,37,male,174.8,90.0,moderate,gain_muscle,low-carb,29.5,overweight,1812.0,2809.0
U0273,27,male,173.5,95.2,active,lose_weight,low-carb,31.6,obese,1906.0,3288.0
U0274,38,female,165.4,52.8,active,maintain,none,19.3,normal,1211.0,2089.0
U0275,46,female,166.6,77.1,moderate,lose_weight,vegetarian,27.8,overweight,1421.0,2203.0
U0276,26,male,172.5,92.8,moderate,lose_weight,none,31.2,obese,1881.0,2916.0
U0277,28,male,182.4,72.6,very_active,gain_muscle,none,21.8,normal,1731.0,3289.0
U0278,56,male,172.8,47.7,active,gain_muscle,none,16.0,underweight,1282.0,2211.0
U0279,34,female,161.0,40.0,active,gain_muscle,vegan,15.4,underweight,1075.0,1854.0
U0280,25,female,167.4,67.2,very_active,lose_weight,none,24.0,normal,1432.0,2721.0
U0281,50,male,176.9,106.4,light,lose_weight,none,34.0,obese,1925.0,2647.0
U0282,51,male,180.7,54.5,moderate,gain_muscle,none,16.7,underweight,1424.0,2207.0
U0283,56,male,171.6,97.1,moderate,maintain,none,33.0,obese,1768.0,2740.0
U0284,53,male,181.2,58.0,sedentary,lose_weight,none,17.7,underweight,1452.0,1742.0
U0285,64,female,160.0,48.4,moderate,maintain,vegetarian,18.9,normal,1003.0,1555.0
U0286,44,male,171.6,45.0,light,lose_weight,vegetarian,15.3,underweight,1308.0,1798.0
U0287,30,male,171.7,76.3,light,maintain,vegetarian,25.9,overweight,1691.0,2325.0
U0288,58,male,166.9,99.0,sedentary,gain_muscle,vegetarian,35.5,obese,1748.0,2098.0
U0289,28,male,188.7,88.9,moderate,lose_weight,high-protein,25.0,overweight,1933.0,2996.0
U0290,30,male,171.5,46.9,moderate,lose_weight,none,15.9,underweight,1396.0,2164.0
U0291,56,female,162.0,58.8,moderate,maintain,none,22.4,normal,1160.0,1798.0
U0292,59,male,172.2,87.6,sedentary,maintain,high-protein,29.5,overweight,1662.0,1994.0
U0293,32,female,156.0,40.0,moderate,lose_weight,vegan,16.4,underweight,1054.0,1634.0
U0294,51,male,166.7,40.0,sedentary,lose_weight,vegetarian,14.4,underweight,1192.0,1430.0
U0295,61,female,161.6,84.2,light,maintain,none,32.2,obese,1386.0,1906.0
U0296,55,female,157.7,61.2,light,lose_weight,none,24.6,normal,1162.0,1598.0
U0297,16,female,165.4,42.1,active,maintain,none,15.4,underweight,1214.0,2094.0
U0298,48,female,167.7,51.6,light,maintain,high-protein,18.3,underweight,1163.0,1599.0
U0299,24,female,165.8,79.4,moderate,lose_weight,vegetarian,28.9,overweight,1549.0,2401.0
